matchTime,result,teamA,champion,teamB
16:00,0 - 0,طلائع الجيش,الدوري المصري,الداخلية
19:00,2 - 0,المصري,الدوري المصري,سموحة
22:00,3 - 0,بايرن ميونيخ,دوري أبطال أوروبا,لاتسيو
22:00,1 - 2,ريال سوسيداد,دوري أبطال أوروبا,باريس سان جيرمان
12:00,1 - 1,تشونبك هيونداي,دوري أبطال آسيا,أولسان هيونداي
20:00,2 - 0,الهلال,دوري أبطال آسيا,الاتحاد
19:00,0 - 0,نهضة الزمامرة,الدوري المغربي,الوداد البيضاوي
15:30,1 - 2,مصر المقاصة,دوري القسم الثاني-أ,بترول أسيوط
15:30,2 - 1,أبو قير للاسمدة,دوري القسم الثاني-أ,مكادي
15:30,2 - 1,جمهورية شبين,دوري القسم الثاني-أ,النصر للتعدين
15:30,4 - 0,دكرنس,دوري القسم الثاني-أ,النجوم
15:30,1 - 0,المصرية للاتصالات,دوري القسم الثاني-أ,أسوان
18:00,2 - 0,الترجى الرياضي,الدوري التونسي,الملعب التونسي
17:00,0 - 0,الدحيل,دوري نجوم قطر,المرخية الرياضي
19:00,1 - 1,معيذر,دوري نجوم قطر,الأهلي القطري
19:00,3 - 4,ام صلال,دوري نجوم قطر,الشمال
